alpha,seed,rejected_empty_client,empty_client_ids,hd_pairwise_rms,hd_pairwise_mean,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
1.3,4028,False,,0.16961989369101335,0.15328735028592425,0.0,1209592,5235176.0,4.32805111144915,0.0,0.25,hd_0p25
1.3,4029,False,,0.2825086891810978,0.2577372898889164,0.0,1018359,5364717.0,5.268001755765894,0.0,0.25,hd_0p25
1.5,4000,False,,0.21383824861824208,0.1989042973755767,0.0,824569,6624156.0,8.033476883074673,0.0,0.25,hd_0p25
1.5,4001,False,,0.18317155144416455,0.17355660808422374,0.0,1555904,3167716.0,2.035932808193822,0.0,0.25,hd_0p25
1.5,4002,False,,0.1739124665504967,0.16274341229225922,0.0,759483,4887293.0,6.435026195451379,0.0,0.25,hd_0p25
1.5,4003,False,,0.22352735924112155,0.2072683434112704,0.0,1109683,4875146.0,4.393278080316631,0.0,0.25,hd_0p25
1.5,4004,False,,0.16725218620076054,0.15446647450757797,0.0,1182480,6995467.0,5.915928387795143,0.0,0.25,hd_0p25
1.5,4005,False,,0.22096630004858714,0.19991983345572684,0.0,998513,4832145.0,4.839341100216021,0.0,0.25,hd_0p25
1.5,4006,False,,0.18085175979863666,0.16930989358396142,0.0,1172035,5381504.0,4.591589841600293,0.0,0.25,hd_0p25
1.5,4007,False,,0.446622335008399,0.37073984089445716,0.0,423824,5752675.0,13.573263901997056,0.0,0.25,hd_0p25
1.5,4008,False,,0.15133328126682444,0.14053441621084278,0.0,1192241,4233344.0,3.5507451932956506,0.0,0.25,hd_0p25
1.5,4009,False,,0.2031115411626229,0.19446504165153083,0.0,1075562,4371265.0,4.064168313867541,0.0,0.25,hd_0p25
1.5,4010,False,,0.27106159974111604,0.2357800605961064,0.0,417820,6875023.0,16.454509118759276,0.0,0.25,hd_0p25
1.5,4011,False,,0.4457501481019378,0.35585278446636565,0.0,270939,4775696.0,17.62646204496215,0.0,0.25,hd_0p25
1.5,4012,False,,0.1983892819456572,0.18183901108834227,0.0,1473148,3969885.0,2.6948310692476247,0.0,0.25,hd_0p25
1.5,4013,False,,0.48803472748285986,0.437972731333862,0.0,382811,7240098.0,18.912983169240174,0.0,0.25,hd_0p25
1.5,4014,False,,0.26285654785272694,0.24866415154742333,0.0,537035,5079213.0,9.45788077127189,0.0,0.25,hd_0p25
1.5,4015,False,,0.4071477088889977,0.34360079770928076,0.0,1122742,4369096.0,3.8914514643613582,0.0,0.25,hd_0p25
1.5,4016,False,,0.36986724141060867,0.3274364606783854,0.0,756185,5178367.0,6.848016027823879,0.0,0.25,hd_0p25
1.5,4017,False,,0.07630304193257259,0.07368036390029138,0.0,1778272,3909818.0,2.1986613971315974,0.0,0.25,hd_0p25
1.5,4018,False,,0.16613837361769832,0.15369281272218482,0.0,1211644,5439233.0,4.4891345972909535,0.0,0.25,hd_0p25
1.5,4019,False,,0.34298004150226596,0.3163801971099322,0.0,380231,7652392.0,20.125639413935215,0.0,0.25,hd_0p25
1.5,4020,False,,0.1682321833720337,0.15780248057681948,0.0,1451298,5203200.0,3.5852044170115303,0.0,0.25,hd_0p25
1.5,4021,False,,0.2738504905509258,0.24575204211649151,0.0,345331,7067618.0,20.466213574802147,0.0,0.25,hd_0p25
1.5,4022,False,,0.16822930176370582,0.16106544469458164,0.0,1239354,4703370.0,3.795017404228332,0.0,0.25,hd_0p25
1.5,4023,False,,0.1500816122578317,0.14675783230629608,0.0,685691,5011398.0,7.308536935733443,0.0,0.25,hd_0p25
1.5,4024,False,,0.3830671355365924,0.3448951195393789,0.0,395910,5760342.0,14.549624914753354,0.0,0.25,hd_0p25
1.5,4025,False,,0.16015482784504168,0.14923224655723158,0.0,1338199,4401066.0,3.2887978544297223,0.0,0.25,hd_0p25
1.5,4026,False,,0.2815469991416912,0.25547301196672423,0.0,564034,7472095.0,13.247596776080874,0.0,0.25,hd_0p25
1.5,4027,False,,0.16005108971734394,0.15332839982814822,0.0,1335646,3570883.0,2.6735250208513333,0.0,0.25,hd_0p25
1.5,4028,False,,0.17617822581116482,0.1637829886135184,0.0,917837,4324472.0,4.711590402217388,0.0,0.25,hd_0p25
1.5,4029,False,,0.34118119322970203,0.27580501255750917,0.0,599615,5778877.0,9.637645822736255,0.0,0.25,hd_0p25
