alpha,seed,rejected_empty_client,empty_client_ids,fedartml_hd,hd_pairwise_mean,hd_pairwise_rms,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
2.5,5011,False,,0.3565557260836921,0.3256349690581969,0.35655572608369207,3,728790,6333648,8.690635162392459,0.6,0.25,hd_0p25
2.5,5012,False,,0.3351501345408719,0.2994714547993737,0.3351501345408719,16,1012678,3625511,3.5801222106138377,3.2,0.25,hd_0p25
2.5,5013,False,,0.2862950691044945,0.2577149236009104,0.2862950691044944,15,1764086,3209328,1.8192582447794494,3.0,0.25,hd_0p25
2.5,5014,False,,0.3812493093152313,0.3049307423659563,0.38124930931523127,18,1808014,3383612,1.8714523228249338,3.6,0.25,hd_0p25
2.5,5015,False,,0.3657239958071464,0.32423971684155506,0.36572399580714626,12,1074313,4776569,4.446161407336596,2.4,0.25,hd_0p25
2.5,5016,False,,0.27768759798572673,0.25791777923296555,0.2776875979857267,8,1398627,5127234,3.6659052056052115,1.6,0.25,hd_0p25
2.5,5017,False,,0.34130176747777763,0.3067721044869567,0.34130176747777763,12,1658332,4152465,2.5040010082420165,2.4,0.25,hd_0p25
2.5,5018,False,,0.3932554450122115,0.3465234436614594,0.39325544501221144,12,1046575,4920521,4.701546473019134,2.4,0.25,hd_0p25
2.5,5019,False,,0.2286000355301641,0.20582553055420977,0.22860003553016406,5,1882795,4343894,2.307151867303663,1.0,0.25,hd_0p25
2.5,5020,False,,0.34481800470887924,0.3070747805614763,0.34481800470887913,12,1676929,3879917,2.313703800220522,2.4,0.25,hd_0p25
2.5,5021,False,,0.3402471602844482,0.2974523328688048,0.3402471602844482,12,1395484,4647853,3.3306386887990116,2.4,0.25,hd_0p25
2.5,5022,False,,0.3233751573113049,0.28363574809293063,0.32337515731130484,11,1266138,4169066,3.2927421813420024,2.2,0.25,hd_0p25
2.5,5023,False,,0.2675441014470001,0.248563073031495,0.2675441014470001,12,2475544,2815634,1.1373799051844766,2.4,0.25,hd_0p25
2.5,5024,False,,0.23902344019653282,0.22552198355122616,0.2390234401965328,9,1445887,4115961,2.8466685155893927,1.8,0.25,hd_0p25
2.5,5025,False,,0.3386458447811361,0.2983303267797839,0.33864584478113613,12,1086224,3980932,3.66492730781128,2.4,0.25,hd_0p25
2.5,5026,False,,0.2727662993240762,0.256975452073251,0.27276629932407614,9,1022004,4963310,4.856448702744803,1.8,0.25,hd_0p25
2.5,5027,False,,0.3094424247115636,0.28149666279182767,0.3094424247115636,15,1406465,3430920,2.4393923773431974,3.0,0.25,hd_0p25
2.5,5028,False,,0.2375191375377452,0.22336736714277708,0.23751913753774517,9,1799203,3786644,2.1046229914023042,1.8,0.25,hd_0p25
2.5,5029,False,,0.46456022318884704,0.40549984512884274,0.46456022318884704,12,1001937,6121002,6.10916854053698,2.4,0.25,hd_0p25
4.0,5000,False,,0.35093696705104066,0.30839423765509083,0.35093696705104066,12,1208704,4560040,3.772668908185958,2.4,0.25,hd_0p25
4.0,5001,False,,0.2097007009530074,0.17573172760241185,0.20970070095300739,7,1732110,4300112,2.4825859789505285,1.4,0.25,hd_0p25
4.0,5002,False,,0.2808000181237109,0.2578326119850783,0.2808000181237109,17,2414645,2736772,1.1334055316620042,3.4,0.25,hd_0p25
4.0,5003,False,,0.3030510043191926,0.26432575389612045,0.3030510043191926,12,1979574,4425429,2.235546132652783,2.4,0.25,hd_0p25
4.0,5004,False,,0.23788403212011267,0.22304650020337907,0.23788403212011267,12,2022279,3036490,1.501518830982273,2.4,0.25,hd_0p25
4.0,5005,False,,0.32485749458646884,0.29295308515525054,0.32485749458646884,15,1338370,3986956,2.9789639636273977,3.0,0.25,hd_0p25
4.0,5006,False,,0.20201697838657084,0.16509163199610433,0.20201697838657082,5,1742192,4070945,2.336679883732677,1.0,0.25,hd_0p25
4.0,5007,False,,0.42855207938257045,0.37167113692900766,0.42855207938257045,15,1046359,4244747,4.056683222488648,3.0,0.25,hd_0p25
4.0,5008,False,,0.3049689719398876,0.27869354478394853,0.3049689719398876,14,1583558,3603679,2.2756848817662503,2.8,0.25,hd_0p25
4.0,5009,False,,0.29025181827292645,0.2541399376790042,0.29025181827292645,10,1839270,3766503,2.0478249522908545,2.0,0.25,hd_0p25
4.0,5010,False,,0.3064113752021496,0.265651089428414,0.3064113752021496,13,1850981,3574167,1.9309582324183772,2.6,0.25,hd_0p25
